,412,442,490,510,560,620,665,673,681,708,753,761,764,767,778,Chla
1,0.014657456,0.015732658,0.019613861,0.021398613,0.02408061,0.008054233,0.005141367,0.005093784,0.004781689,0.002645233,0.00070956,0.000755249,0.000589053,0.000411684,0.000695352,4.31
2,0.017242231,0.017929887,0.021742427,0.024449805,0.032669827,0.019371147,0.014539364,0.013746981,0.012723601,0.00877698,0.002354056,0.002126172,0.00192499,0.002041112,0.002072349,4.25
3,0.018156934,0.02129882,0.027983528,0.030844419,0.035837311,0.016075813,0.010750291,0.01034043,0.009428205,0.005434361,0.001561818,0.00125862,0.001020571,0.001073665,0.00153663,2.55
4,0.020080442,0.025437727,0.035713332,0.041584096,0.056629337,0.048483135,0.038169572,0.036299397,0.034573347,0.031214684,0.008373786,0.008596268,0.007868646,0.007506287,0.009348983,15.87
5,0.028837418,0.034925957,0.04627179,0.051717685,0.061331019,0.034705189,0.0247508,0.023643151,0.021894474,0.014805184,0.004050916,0.004425444,0.00387621,0.003556225,0.004418591,6.73
6,0.020475733,0.021191259,0.024853639,0.026127604,0.026559338,0.008093403,0.004976426,0.004875238,0.004576486,0.002412169,0.000548599,0.000309297,0.000292353,0.000492695,0.000601764,2.24
7,0.023337548,0.027921592,0.036661621,0.040270801,0.046895376,0.02237824,0.015027419,0.014355303,0.013149636,0.00799583,0.002137759,0.001927685,0.00167056,0.001595698,0.002093316,3.27
8,0.020219595,0.022557549,0.028658683,0.030192664,0.030805816,0.010922893,0.007392993,0.007212808,0.006632626,0.003834751,0.001053679,0.00101158,0.000758951,0.000712113,0.000955718,2.48
9,0.024212502,0.029081526,0.03900223,0.045590697,0.065917906,0.064135933,0.055084042,0.053188941,0.050328899,0.046786595,0.012935649,0.013037087,0.011741759,0.011299396,0.014248388,11.79
10,0.012525579,0.014290802,0.018740767,0.020500541,0.023071186,0.009104709,0.005967612,0.005755011,0.00531838,0.003076196,0.000964984,0.000737913,0.000477704,0.000494699,0.001030025,3.54
11,0.019875817,0.022127744,0.025738744,0.027319881,0.029193152,0.014862643,0.010245875,0.009863684,0.009031947,0.005373431,0.001472726,0.00138602,0.001201549,0.00111001,0.001582477,5.21
12,0.036109679,0.043367323,0.055136006,0.060553137,0.071229837,0.05089025,0.040034675,0.039059899,0.035807921,0.025170939,0.006878336,0.006873192,0.005952489,0.005797261,0.007349998,4.93
13,0.013917829,0.017059659,0.023674513,0.025534761,0.027026565,0.008554258,0.005701062,0.005693305,0.005350044,0.002668986,0.000876003,0.000505737,0.000542891,0.000500729,0.001001699,1.82
14,0.021030752,0.023615131,0.031142939,0.036291814,0.053348898,0.043592098,0.03337307,0.031382416,0.030564653,0.030026917,0.008286767,0.008600125,0.007463849,0.007145149,0.008885308,36.04
15,0.011361143,0.013868642,0.020882001,0.024929177,0.033118486,0.01556248,0.010991271,0.010557468,0.009965498,0.007762878,0.002065321,0.002155403,0.002103609,0.001921602,0.002359188,9.86
16,0.014235597,0.019245111,0.028975833,0.032911423,0.039858387,0.020031472,0.013961383,0.013560818,0.012674289,0.007622382,0.002593896,0.001663771,0.001557882,0.002498452,0.003112163,12.55
17,0.02636541,0.030474302,0.040344705,0.045782629,0.05845373,0.038616648,0.030271482,0.028607011,0.026529822,0.020777904,0.005949883,0.005841277,0.004850144,0.004865379,0.00607803,4.75
18,0.00742027,0.008741613,0.016203364,0.020692082,0.037861665,0.021969531,0.015420367,0.014299646,0.015009428,0.019656787,0.006760792,0.006778587,0.005203783,0.005050972,0.007878293,60.59
19,0.009440915,0.011629777,0.017785434,0.020247277,0.023511075,0.008893996,0.006467946,0.006326889,0.006095011,0.003708289,0.001114763,0.000994193,0.000822533,0.000954008,0.001292141,4.42
