,BR_665_620,BR_708_620,BR_708_660,BR_708_681,BR_708_673,LH_553,LH_620,LH_665,SS_665_CI,LH_673,SS_681_CI,LH_708,LH_708_,mm12,mi14,Chla
31,0.750469776,0.468622004,0.62443821,0.700088245,0.656234896,0.032213767,-0.005611633,-0.000243042,-0.000201385,0.000149756,0.000851043,-4.08E-06,0.00068777,-0.231194876,-0.155816206,6.76
32,0.697923688,0.429250823,0.615039769,0.684220809,0.637818742,0.020280228,-0.005586706,-0.000364657,-0.00040559,0.000154585,0.000438856,-0.000190412,0.000109289,-0.238359599,-0.185788945,8.24
33,0.74417181,0.497083298,0.667968461,0.761243742,0.713418881,0.024336763,-0.007082119,2.48E-05,2.48E-06,-2.75E-05,1.15E-05,0.000398388,0.000528445,-0.19906344,-0.170885162,8.86
34,0.78233473,0.703699449,0.899486399,1.10635551,1.031954638,0.026988296,-0.006787353,0.001233006,0.001195585,-0.000641866,-0.002753016,0.005564672,0.005008896,-0.052916199,-0.19578695,22.69
35,0.680961618,0.382221744,0.561297045,0.639481071,0.589640136,0.02164146,-0.007592267,-0.000262874,-0.000287393,0.000114819,0.000360187,-0.000342631,-0.000153124,-0.28098622,-0.179075301,4.22
36,0.914792083,1.095273086,1.197291829,1.459198833,1.371949144,0.044144632,-0.010791322,0.003785508,0.004346973,-0.001512205,-0.010181242,0.022614999,0.021176487,0.089788633,-0.102018743,52.99
37,0.723726323,0.60237173,0.832319774,0.991241882,0.938091282,0.030144123,-0.007492986,0.000521977,0.000248519,-0.000446332,-0.001341289,0.003075701,0.002915394,-0.091512534,-0.229948045,15.3
38,0.84331042,0.965428822,1.144808364,1.34611638,1.295216377,0.035577702,-0.005332962,0.002317253,0.002022797,-0.001358203,-0.006681597,0.016374935,0.015895585,0.067515759,-0.179379542,48.44
39,0.822810451,0.766537979,0.931609435,1.091639308,1.038370975,0.052306436,-0.010648888,0.002167919,0.002044012,-0.001167941,-0.004793414,0.01214702,0.011924207,-0.035406001,-0.165071456,25.53
40,0.737474241,0.60546385,0.820996607,0.982735253,0.923546584,0.030182379,-0.007087853,0.000676045,0.000467525,-0.000479353,-0.00163358,0.003511447,0.003245144,-0.098299685,-0.215532757,33.12
41,0.714621089,0.457647395,0.640405667,0.733334882,0.684065456,0.022079809,-0.006992213,-6.43E-05,-0.000118903,-4.89E-06,7.48E-05,0.000295148,0.000445469,-0.219210614,-0.182758272,8.21
42,0.771202471,0.550224248,0.713462766,0.798959052,0.768637565,0.023200504,-0.007032708,0.000178484,1.24E-05,-0.000201797,-4.32E-06,0.000842599,0.001094416,-0.167226998,-0.163238518,12.69
43,1.014152683,2.041318698,2.012831728,2.782487842,2.618860205,0.044684233,-0.014641706,0.005176495,0.005414455,-0.002426964,-0.017033975,0.034966027,0.031689427,0.336172684,0.02848697,114.57
44,0.759864617,0.565986764,0.74485211,0.844888594,0.806382608,0.02975817,-0.004590304,0.000405116,0.000105617,-0.000405551,-0.000556355,0.002426185,0.002708301,-0.146228949,-0.178865347,46.33
45,0.939234975,1.488608768,1.584916242,2.202260357,2.04846714,0.036267172,-0.009586323,0.004187167,0.004358383,-0.001977537,-0.011433242,0.022953774,0.0205983,0.22628054,-0.096307475,86.98
46,0.774306172,0.619725083,0.800361802,0.887717982,0.847728352,0.032232362,-0.004507082,9.72E-05,-0.00010887,-0.000188214,-0.000680449,0.004365555,0.005134296,-0.110887822,-0.180636719,18.81
47,0.76323519,0.566580012,0.742340002,0.852958278,0.793793927,0.028287847,-0.00530682,0.000174121,0.00030331,5.01E-07,-0.000717006,0.00282321,0.003094803,-0.147881583,-0.17575999,16.26
48,0.773809464,0.632179552,0.81697056,0.922878665,0.884868686,0.035080077,-0.00629791,0.000538038,0.000204358,-0.00049518,-0.001193722,0.004556049,0.00496451,-0.100733299,-0.184791009,22.84
49,0.832329014,0.582702805,0.7000871,0.785296924,0.726102744,0.036957576,-0.00257218,6.89E-07,0.001364796,0.000924217,0.000154955,0.003285548,0.004407362,-0.176410315,-0.117384295,11.47
50,0.765385171,0.52747225,0.689159224,0.783263531,0.72516687,0.030871474,-0.003706287,-0.000131416,0.000263142,0.00033313,-0.000143329,0.002199127,0.002748802,-0.184021004,-0.161686974,9.97
51,0.768365308,0.995829545,1.29603658,1.534526358,1.50222612,0.057431954,-0.000727101,0.003860369,0.001933523,-0.003236158,-0.014432435,0.034683279,0.033439676,0.128933738,-0.300207034,71.13
52,0.811560499,0.656279666,0.808663886,0.927165329,0.867205171,0.038516863,-0.003526349,0.001028775,0.001542288,-0.00016634,-0.002615626,0.008359603,0.008762666,-0.105788652,-0.152384219,22.88
53,0.814746197,0.805704475,0.988902406,1.113856571,1.067428457,0.025011037,0.001243552,0.001165365,0.000957341,-0.000723676,-0.004474703,0.013823781,0.014368635,-0.005579758,-0.183197931,50.69
54,0.761157753,0.503090827,0.660954744,0.745101251,0.692852263,0.02377485,-0.0018981,-0.000235867,2.87E-05,0.000297236,0.000376897,0.001110239,0.001753618,-0.204126727,-0.157863916,10.35
55,0.745477753,0.535990952,0.718989869,0.808207253,0.758285068,0.031940512,-0.002398257,-0.000268906,-0.000289683,0.000120371,-0.000207929,0.003207146,0.004009673,-0.163473989,-0.182998917,14.16
56,0.850038621,0.620348681,0.729788818,0.795462638,0.740177938,0.025400364,3.87E-05,-0.000813566,0.000809158,0.001506629,0.000994482,0.003990168,0.00600921,-0.156210503,-0.109440138,8.05
57,0.715930807,0.530133482,0.74048145,0.843876683,0.788385588,0.027155397,-0.005417968,-0.000154759,-0.000255179,9.32E-06,-0.000483957,0.002190464,0.002460109,-0.149107335,-0.210347968,16.5
58,0.800779732,0.858662736,1.072283302,1.251075839,1.192142001,0.037766528,-0.001773905,0.002037623,0.001711992,-0.001239517,-0.007236655,0.01815687,0.017765463,0.034880995,-0.213620567,51.61
59,0.757627409,1.795974423,2.370524616,3.573992621,3.373022145,0.048665356,-0.010055781,0.004038737,0.003255687,-0.002550102,-0.016757631,0.034003709,0.030660549,0.406620563,-0.574550193,44.09
60,0.860839573,1.017247003,1.181691728,1.381049524,1.311135126,0.03342398,-0.002083881,0.002471722,0.002665747,-0.001104355,-0.008816478,0.022106592,0.021625473,0.083280202,-0.164444725,60.26
61,0.794233245,0.58488892,0.73641959,0.820576364,0.771495431,0.038245846,-0.000660135,-2.68E-05,0.000409911,0.000309394,-0.000238482,0.005407978,0.006852541,-0.151795345,-0.151530669,14.69
62,0.821602781,0.600536197,0.730932527,0.81390154,0.756351927,0.033710495,-0.000892362,-0.000221283,0.000952425,0.000906154,-9.51E-05,0.005021199,0.006465342,-0.15544654,-0.13039633,10.69
63,0.769157025,0.524576567,0.682014921,0.765258132,0.713285918,0.037046345,-0.003953758,-0.000330819,6.24E-05,0.000431953,0.000390752,0.002260615,0.003263876,-0.189050094,-0.157438353,12.94
64,0.817269879,0.594556416,0.72749092,0.80757938,0.750170336,0.025220591,-0.000845641,-0.000329251,0.000591418,0.000788635,9.08E-05,0.003784054,0.005004667,-0.157748488,-0.132934504,22.16
65,0.724433662,0.464454365,0.641127531,0.715136148,0.669024986,0.02470073,-0.004255161,-0.00043492,-0.000462921,0.000198482,0.000593624,0.00033296,0.000917301,-0.218674333,-0.176673166,7.97
66,0.751781951,0.841531886,1.119382934,1.313445483,1.271725359,0.029030241,-0.00326468,0.001224692,0.000528706,-0.00108407,-0.004537106,0.011240141,0.010951252,0.0563291,-0.277851048,55.32
67,0.762163537,0.527625784,0.692273716,0.782542636,0.725663917,0.033632698,-0.004212838,-0.000272654,0.000110166,0.000395794,-2.89E-05,0.00232905,0.003011316,-0.18184191,-0.164647932,10.85
68,0.822323377,0.547819052,0.666184456,0.736267166,0.682987731,0.030755927,-0.001263548,-0.000613919,0.000709295,0.001203805,0.00151971,0.001835076,0.003628802,-0.200347292,-0.118365405,4.77
69,0.77173411,0.498245987,0.645618719,0.732020016,0.673496649,0.030349542,-0.004642255,-0.00030062,0.000300247,0.000557565,0.000437611,0.000903344,0.001533472,-0.215348353,-0.147372732,6.64
70,0.728436419,0.453062509,0.621965757,0.704512431,0.647287055,0.028834707,-0.004966045,-0.000597851,-0.000294253,0.000504698,0.000609195,0.000174234,0.000723157,-0.233071655,-0.168903248,7.42
71,0.820843111,0.553494633,0.674300151,0.733953188,0.68422067,0.027112006,-0.001633233,-0.000928119,0.000121873,0.001175721,0.001795316,0.001536345,0.003463999,-0.194528949,-0.120805517,5.52
